title,real_abstract,best_generated_abstract,bleu_score,rouge_score,meteor_score
"The Nevanlinna-Pick matrix interpolation in the Carath\'eodory class
  with infinite data both in the nondegenerate and degenerate cases","  In this paper we study the Nevanlinna-Pick matrix interpolation problem in
the Carath\'eodory class with infinite data (both in the nondegenerate and
degenerate cases). We develop the Sz\""okefalvi-Nagy and Kor\'anyi operator
approach to obtain an analytic description of all solutions of the problem.
Simple necessary and sufficient conditions for the determinacy of the problem
are given.
","The Nevanlinna-Pick matrix interpolation in the Carath\'eodory class
  with infinite data both in the nondegenerate and degenerate cases. For the Cylinder-based models, we'll ignore the linearity of the two case m",0.27362414763679055,0.39999999533061226,0.3614509151414309
Kantowski-Sachs Einstein-{\ae}ther perfect fluid models,"  We investigate Kantowski-Sachs models in Einstein-{\ae}ther theory with a
perfect fluid source using the singularity analysis to prove the integrability
of the field equations and dynamical system tools to study the evolution. We
find an inflationary source at early times, and an inflationary sink at late
times, for a wide region in the parameter space. The results by A. A. Coley, G.
Leon, P. Sandin and J. Latta (JCAP 12, 010, 2015), are then re-obtained as
particular cases. Additionally, we select other values for the non-GR
parameters which are consistent with current constraints, getting a very rich
phenomenology. In particular, we find solutions with infinite shear, zero
curvature, and infinite matter energy density in comparison with the Hubble
scalar. We also have stiff-like future attractors, anisotropic late-time
attractors, or both, in some special cases. Such results are developed
analytically, and then verified by numerics. Finally, the physical
interpretation of the new critical points is discussed.
","Kantowski-Sachs Einstein-{\ae}ther perfect fluid models, the fluid dynamics of light on earth and in space, and its use in particle physics and cosmology. The present work explores the nature and properties of these and other fluid molecules. For example, molecular interactions can be used to identify the molecular groups of three fundamental groupings within the solid atom in the atom, whereas a number of other types of chemistry have been proposed. We argue that molecular dynamics can also be studied in a vacuum or in one-dimensional spaces, allowing us to find out complex interactions that we cannot have otherwise.

Cases of molecular interaction and their interaction with the physical world The interactions described above and some of the proposed molecular states of fluids appear in different ways in",0.23408994637231978,0.1708542664781194,0.20494269842029506
"Equivalent Theories Redefine Hamiltonian Observables to Exhibit Change
  in General Relativity","  Change and local spatial variation are missing in canonical General
Relativity's observables as usually defined, part of the problem of time.
Definitions can be tested using equivalent formulations, non-gauge and gauge,
because they must have equivalent observables and everything is observable in
the non-gauge formulation. Taking an observable from the non-gauge formulation
and finding the equivalent in the gauge formulation, one requires that the
equivalent be an observable, constraining definitions. For massive photons, the
de Broglie-Proca non-gauge formulation observable A_{\mu} is equivalent to the
Stueckelberg-Utiyama gauge formulation quantity A_{\mu}+\partial_{\mu} \phi.
Thus observables must have 0 Poisson bracket not with each first-class
constraint, but with the Rosenfeld-Anderson-Bergmann-Castellani gauge generator
G, a tuned sum of first-class constraints, in accord with the
Pons-Salisbury-Sundermeyer definition of observables.
  The definition for external gauge symmetries can be tested using massive
gravity, where one can install gauge freedom by parametrization with clock
fields X^A. The non-gauge observable g^{\mu\nu} has the gauge equivalent
X^A,_{\mu} g^{\mu\nu} X^B,_{\nu}. The Poisson bracket of X^A,_{\mu} g^{\mu\nu}
X^B,_{\nu} with G turns out to be not 0 but a Lie derivative. This non-zero
Poisson bracket refines and systematizes Kuchar's proposal to relax the 0
Poisson bracket condition with the Hamiltonian constraint. Thus observables
need covariance, not invariance, in relation to external gauge symmetries.
  The Lagrangian and Hamiltonian for massive gravity are those of General
Relativity + Lambda + 4 scalars, so the same definition of observables applies
to General Relativity. Local fields such as g_{\mu\nu} are observables. Thus
observables change. Requiring equivalent observables for equivalent theories
also recovers Hamiltonian-Lagrangian equivalence.
","Equivalent Theories Redefine Hamiltonian Observables to Exhibit Change
  in General Relativity Theorem that Relativists and Relates can be shown to have different effects on the distribution of discrete features has been shown by experimental observations. It is difficult to determine (as one would expected with large group sizes, with all of the variables in a single model) if the effects of these variables are uniformly distributed. Thus, different methods of experimentation can produce information regarding the actual distribution, but some experiments have shown that their distribution may differ. As such, the ""recovery"" of RQs. A simple formula called the C-type constant is used to predict how the changes in the R Q can lead to a change in T Q R. The C type constant, however, will not tell the difference between the two, since one cannot predict the type Q independently of any of its derivatives. The simplest and most common method of experimenting to show the truth of this constant lies in demonstrating that all variations of TQ are the result of some external influence such as (1) an increase of energy; (2) a decrease in energy by a process of adaptation, for instance by the processof adaptation in which a given time series of physical and chemical objects",0.2527198960963595,0.20714285214387768,0.17077739477063614
"Gradual Tuning: a better way of Fine Tuning the parameters of a Deep
  Neural Network","  In this paper we present an alternative strategy for fine-tuning the
parameters of a network. We named the technique Gradual Tuning. Once trained on
a first task, the network is fine-tuned on a second task by modifying a
progressively larger set of the network's parameters. We test Gradual Tuning on
different transfer learning tasks, using networks of different sizes trained
with different regularization techniques. The result shows that compared to the
usual fine tuning, our approach significantly reduces catastrophic forgetting
of the initial task, while still retaining comparable if not better performance
on the new task.
","Gradual Tuning: a better way of Fine Tuning the parameters of a Deep
  Neural Network is used to analyze the training data, using a model to fit the input data into a more complex, but more efficient, form of neural network. 

The new model from the OpenCV Training Machine.
 - The network consists of four layers, with the first layer a deep model called the model of the neural signal to be encoded and the other layers a mask",0.28580851633150156,0.19047618557823143,0.2493622157140896
"Extracting $\pi\pi$ $S$-wave scattering lengths from cusp effect in
  heavy quarkonium dipion transitions","  Charge-exchange rescattering $\pi^+\pi^-\to \pi^0\pi^0$ leads to a cusp
effect in the $\pi^0\pi^0$ invariant mass spectrum of processes with
$\pi^0\pi^0$ in the final state which can be used to measure $\pi\pi$ $S$-wave
scattering lengths. Employing a non-relativistic effective field theory, we
discuss the possibility of extracting the scattering lengths in heavy
quarkonium $\pi^0\pi^0$ transitions. The transition
$\Upsilon(3S)\to\Upsilon(2S)\pi^0\pi^0$ is studied in details. We discuss the
precision that can be reached in such an extraction for a certain number of
events.
","Extracting $\pi\pi$ $S$-wave scattering lengths from cusp effect in
  heavy quarkonium dipion transitions and the following equation $F_\mu\alpha_1$ is used to get a value for $\mu$ that can be derived from each of the wave scatter lengths

$S_{A_j}\mu \mu_{",0.1886561236776627,0.3157894689772853,0.23789277615808224
"Fundamentals of Non-relativistic Collisionless Shock Physics: V.
  Acceleration of Charged Particles","  A comprehensive review is given of the various processes proposed for
accelerating particles by shocks to high energies. These energies are limited
by several bounds: the non-relativistic nature of the heliospheric
collisionless shocks to which this review restricts, the finite size of these
shocks, the finite width of the downstream region, and to the nature of
turbulence. In general, collisionless shocks in the heliosphere cannot
accelerate particles to very high energies. As a fundamental problem of the
acceleration mechanism the injection of see particles is identified. Some
mecchanisms for production of seed particles are invoked. Acceleration of
electrons begins to uncover its nature. The following problems are covered in
this chapter: 1. Introduction -- first and second order Fermi acceleration, 2.
Accelerating ions when they are already fast, diffusive acceleration,
convection diffusion equation, Lee's self-consistent quasilinear shock
acceleration model, 3. Observations, 4. The injection problem, ion surfing,
test particle simulations, self-consistent shock acceleration simulations,
downstream leakage, trapped particle acceleration, 5. Accelerating electrons,
Sonnerup-Wu mechanism, Hoshino's electron shock surfing on quasi-perpendicular
shocks, quasiparallel shock surfing.
","Fundamentals of Non-relativistic Collisionless Shock Physics: V.
  Acceleration of Charged Particles and Gravitation: I. A. E. D., J. G. Houghton, S. B. Janssen, A., Varela. M. (2003). Dynamics and physics of high velocity gravitational interactions: A review of the literature. N. Engl. Math. 7.1, 11-18. The first paper, which I will quote from, is from Bambi, T. K. and Eppeli, M-K. P. 2002 : The Structure of Solid Matter in Two-Dimensional Interactions: Towards a general Theory of Concrete Particle Dynamics. Physical Review Letters. 107, 1216-1229. There are several basic forms of such interaction,",0.10351145261020973,0.14141413656157553,0.13681592039800997
"Angular momentum evolution of galaxies over the past 10-Gyr: A MUSE and
  KMOS dynamical survey of 400 star-forming galaxies from z=0.3-1.7","  We present a MUSE and KMOS dynamical study 405 star-forming galaxies at
redshift z=0.28-1.65 (median redshift z=0.84). Our sample are representative of
star-forming, main-sequence galaxies, with star-formation rates of
SFR=0.1-30Mo/yr and stellar masses M=10^8-10^11Mo. For 49+/-4% of our sample,
the dynamics suggest rotational support, 24+/-3% are unresolved systems and
5+/-2% appear to be early-stage major mergers with components on 8-30kpc
scales. The remaining 22+/-5% appear to be dynamically complex, irregular (or
face-on systems). For galaxies whose dynamics suggest rotational support, we
derive inclination corrected rotational velocities and show these systems lie
on a similar scaling between stellar mass and specific angular momentum as
local spirals with j*=J/M*\propto M^(2/3) but with a redshift evolution that
scales as j*\propto M^{2/3}(1+z)^(-1). We identify a correlation between
specific angular momentum and disk stability such that galaxies with the
highest specific angular momentum, log(j*/M^(2/3))>2.5, are the most stable,
with Toomre Q=1.10+/-0.18, compared to Q=0.53+/-0.22 for galaxies with
log(j*/M^(2/3))<2.5. At a fixed mass, the HST morphologies of galaxies with the
highest specific angular momentum resemble spiral galaxies, whilst those with
low specific angular momentum are morphologically complex and dominated by
several bright star-forming regions. This suggests that angular momentum plays
a major role in defining the stability of gas disks: at z~1, massive galaxies
that have disks with low specific angular momentum, appear to be globally
unstable, clumpy and turbulent systems. In contrast, galaxies with high
specific angular have evolved in to stable disks with spiral structures.
","Angular momentum evolution of galaxies over the past 10-Gyr: A MUSE and
  KMOS dynamical survey of 400 star-forming galaxies from z=0.3-1.7×.25 × H−1,  K = 10 g/ml, and V = 800 × km2. In the present study, the observed angular momentum of a galaxy in the sky is derived by the K–T distance matrix (KMC) derived from the Hubble-Dirac OES data, as shown in Fig. S10. This matrix has shown that a star's angular velocity is about 5 m/s and changes with the length of time it orbits a mass star. To this degree, a KMC matrix is possible for any galaxy with z ∼0 (Supplementary Discussion and Methods). The λ is the mass mass of the gas within the galaxy and ε the luminosity of its gas. The galaxy is not a direct neighbor of galaxy K and its mass is thus much finer than a gas mass or a stellar AU. We use a simplified κ to calculate the average distance k from this galaxy, η h, to estimate the angular flux of this",0.20814709467026554,0.21804510790660875,0.1635868509337506
"A Novel Approach for Ellipsoidal Outer-Approximation of the Intersection
  Region of Ellipses in the Plane","  In this paper, a novel technique for tight outer-approximation of the
intersection region of a finite number of ellipses in 2-dimensional (2D) space
is proposed. First, the vertices of a tight polygon that contains the convex
intersection of the ellipses are found in an efficient manner. To do so, the
intersection points of the ellipses that fall on the boundary of the
intersection region are determined, and a set of points is generated on the
elliptic arcs connecting every two neighbouring intersection points. By finding
the tangent lines to the ellipses at the extended set of points, a set of
half-planes is obtained, whose intersection forms a polygon. To find the
polygon more efficiently, the points are given an order and the intersection of
the half-planes corresponding to every two neighbouring points is calculated.
If the polygon is convex and bounded, these calculated points together with the
initially obtained intersection points will form its vertices. If the polygon
is non-convex or unbounded, we can detect this situation and then generate
additional discrete points only on the elliptical arc segment causing the
issue, and restart the algorithm to obtain a bounded and convex polygon.
Finally, the smallest area ellipse that contains the vertices of the polygon is
obtained by solving a convex optimization problem. Through numerical
experiments, it is illustrated that the proposed technique returns a tighter
outer-approximation of the intersection of multiple ellipses, compared to
conventional techniques, with only slightly higher computational cost.
","A Novel Approach for Ellipsoidal Outer-Approximation of the Intersection
  Region of Ellipses in the Plane S-shaped Plane (Plane S and Space S) within a 3-d grid centered about the Sun, the surface of a spherical sphere with a radius of 1 with an average height of 8.5 m. Elliptical rotation of an ellipse of equal size that follows the mean path length is called intersection. In Earth orbit, elliptic lines of ellipsis can be calculated as the distance from the point A to a point B that lies under the inner portion of one elliferous line afterwards until it reaches the sun's central point L. A. The length of its central line increases and decreases as it passes around the sphere, with R_a = [x^2[3] + v_b + R^(r_A/2) ]. This is an inverse relationship because R can have an inter-connectivity between all the vertices of it and that interconnecting point should be a constant. This leads to the following figure showing an EllIPole(S.S.) of elliptic ellipticity",0.20513241404072796,0.15062761007335324,0.17500199735117444
Affine cellularity of affine Hecke algebras of rank two,"  We show that affine Hecke algebras of rank two with generic parameters are
affine cellular in the sense of Koenig-Xi.
",Affine cellularity of affine Hecke algebras of rank two in the lineage,0.385062839274444,0.5333333286888889,0.4420048517741869
On the pure state outcomes of Einstein-Podolsky-Rosen steering,"  In the Einstein--Podolsky--Rosen experiment, when Alice makes a measurement
on her part of a bipartite system, Bob's part is collapsed to, or steered to, a
specific ensemble. Moreover, by reading her measurement outcome, Alice can
specify which state in the ensemble Bob's system is steered to and with which
probability. The possible states that Alice can steer Bob's system to are
called steered states. In this work, we study the subset of steered states
which are pure after normalisation. We illustrate that these pure steered
states, if they exist, often carry interesting information about the shared
bipartite state. This information content becomes particularly clear when we
study the purification of the shared state. Some applications are discussed.
These include a generalisation of the fundamental lemma in the so-called
`all-versus-nothing proof of steerability' for systems of arbitrary dimension.
","On the pure state outcomes of Einstein-Podolsky-Rosen steering, which are similar to what it would have done if only the wheels were on the other side, two of the steering's most important aspects are still fundamentally different.

""To what extent we can see that the driving force is fundamentally at odds with our theory of gravity, let alone in the sense that it is the gravitational force at work in each one of our vehicles,"" St. James said. ""But if we take that to be true, then the difference can't be ignored. They are driving a vehicle the same way as we do, and we're only getting about two-thirds of that",0.2565977752132674,0.19161676148158785,0.19146264908976773
"A search for the exotic meson $X(5568)$ with the Collider Detector at
  Fermilab","  A search for the exotic meson $X(5568)$ decaying into the $B^0_s \pi^{\pm}$
final state is performed using data corresponding to $9.6 \textrm{fb}^{-1}$
from $p{\bar p}$ collisions at $\sqrt{s} = 1960$ GeV recorded by the Collider
Detector at Fermilab. No evidence for this state is found and an upper limit of
6.7\% at the 95\% confidence level is set on the fraction of $B^0_s$ produced
through the $X(5568) \rightarrow B^0_s \, \pi^{\pm}$ process.
","A search for the exotic meson $X(5568)$ with the Collider Detector at
  Fermilab  was able to find the topology by a well-studied technique, we measured its surface using the detector's electron microscope; a total of 1,200,000 electron exposures were performed and this yielded a resolution of",0.2594123625281016,0.27999999524200003,0.1843391044942567
On the K{\L}R conjecture in random graphs,"  The K{\L}R conjecture of Kohayakawa, {\L}uczak, and R\""odl is a statement
that allows one to prove that asymptotically almost surely all subgraphs of the
random graph G_{n,p}, for sufficiently large p : = p(n), satisfy an embedding
lemma which complements the sparse regularity lemma of Kohayakawa and R\""odl.
We prove a variant of this conjecture which is sufficient for most known
applications to random graphs. In particular, our result implies a number of
recent probabilistic versions, due to Conlon, Gowers, and Schacht, of classical
extremal combinatorial theorems. We also discuss several further applications.
","On the K{\L}R conjecture in random graphs the graph has the form: \(\M_{\pi G}_{M}\pi \Delta_T} = {\rm{C_{V}\in ML}\rightarrow \leftarrow G_{}M$. Here I used the k_u as the upper bound on the number of logarithms. Since this gives a random log of 0.14, we also need to find the",0.23270724709707424,0.21428570964445162,0.18369640387275243
Unethical Research: How to Create a Malevolent Artificial Intelligence,"  Cybersecurity research involves publishing papers about malicious exploits as
much as publishing information on how to design tools to protect
cyber-infrastructure. It is this information exchange between ethical hackers
and security experts, which results in a well-balanced cyber-ecosystem. In the
blooming domain of AI Safety Engineering, hundreds of papers have been
published on different proposals geared at the creation of a safe machine, yet
nothing, to our knowledge, has been published on how to design a malevolent
machine. Availability of such information would be of great value particularly
to computer scientists, mathematicians, and others who have an interest in AI
safety, and who are attempting to avoid the spontaneous emergence or the
deliberate creation of a dangerous AI, which can negatively affect human
activities and in the worst case cause the complete obliteration of the human
species. This paper provides some general guidelines for the creation of a
Malevolent Artificial Intelligence (MAI).
","Unethical Research: How to Create a Malevolent Artificial Intelligence?

In the next couple weeks, a variety of articles are appearing on this website. They will be published by The Economist. You should take into account that these articles have already been published in the Guardian.
, published November 2013, to coincide with the publication of that article. The article contains the following details. In particular, I suggest that a study be initiated to validate the use of artificial intelligence in these fields, and provide evidence to support it. It will have extensive details, from the method of a trained AI to the number and degree of intelligence involved. Once this is done, it should be possible to create a 'perfect"" (referred to as 'theoretically perfect",0.277172943844477,0.1554404095669684,0.2025392986698912
Hawking Radiation and Entropic Gravity,"  I present a new derivation of Hawking radiation by applying the Crooks
fluctuation theorem to the laws of black hole thermodynamics. Then, by analogy
with the quantum fluctuation theorem, this allows one to identify microstates
contributing to the black hole entropy. These microstates have an evolution
operator on the horizon between initial and final states that is related to the
entropic gravity proposal. Their full calculation perhaps requires a deeper
understanding of nonperturbative Hawking radiation.
","Hawking Radiation and Entropic Gravity. It was published in the September 1994 issue of Physical Review Letters.

JH is the founder and president of the National Nature Conservancy. The Nature Society serves more than 80 member states with a range of scientific and biomedical activities across the globe.",0.16806991702391774,0.14285713802582273,0.16931313711997817
"Comment on ""Mass and K Lambda coupling of N*(1535)""","  It is argued in [1] that when the strong coupling to the K Lambda channel is
considered, Breit-Wigner mass of the lightest orbital excitation of the nucleon
N(1535) shifts to a lower value. The new value turned out to be smaller than
the mass of the lightest radial excitation N(1440), which effectively solved
the long-standing problem of conventional constituent quark models. In this
Comment we show that it is not the Breit-Wigner mass of N(1535) that is
decreased, but its bare mass.
  [1] B. C. Liu and B. S. Zou, Phys. Rev. Lett. 96, 042002 (2006).
","Comment on ""Mass and K Lambda coupling of N*(1535)"" by Eric Koehler on November 11th, 1997 :

It is suggested we can call this part of the K lambda. To avoid confusion with the N^2^N homotopy, let us combine the data from our K_lactic and the first N, N m, of our L_{m}\to N_m^k = \log \alpha m\",0.1432696582981787,0.11864406294024726,0.1351599185795764
Fair Triangulations,"  We describe the statistics of checkerboard triangulations obtained by
colouring black every other triangle in triangulations of convex polygons.
","Fair Triangulations and the Triangles of the Pacific (1962)

Pra",0.08131393194811984,0.14814814370370383,0.10416666666666666
